user_id,Submit_Date,Start_Date,Date_Timestamp,Question_01,Question_02,Question_03,Question_04,Question_05,Question_06,Question_07,Question_08,Question_09,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16,Question_17,Question_18,Question_19,Question_20
621e2e8e67b776a24055b564,31/5/2021 13:34,31/5/2021 13:32,31/5/2021 13:34,3,3,5,1,5,1,1,1,5,3,1,1,1,3,1,5,4,1,4,1
621e2e8e67b776a24055b564,7/6/2021 12:42,7/6/2021 12:41,7/6/2021 12:42,5,3,3,1,4,1,1,1,4,4,1,1,1,4,1,4,4,1,4,1
621e2e8e67b776a24055b564,28/6/2021 17:26,28/6/2021 17:24,28/6/2021 17:26,2,1,1,1,2,1,1,1,2,2,1,4,1,1,4,3,3,1,1,2
621e2e8e67b776a24055b564,26/7/2021 12:46,26/7/2021 12:45,26/7/2021 12:46,5,5,4,1,4,1,1,1,4,4,1,1,1,4,1,4,3,1,4,1
621e2e8e67b776a24055b564,28/6/2021 17:41,28/6/2021 17:27,28/6/2021 17:41,3,3,3,1,4,1,1,1,3,3,1,1,1,4,1,4,3,1,3,1
621e2e8e67b776a24055b564,19/7/2021 12:43,19/7/2021 12:42,19/7/2021 12:43,4,2,4,1,4,1,1,1,4,4,1,1,1,4,2,4,4,1,4,1
621e2eaf67b776a2406b14ac,29/11/2021 12:06,29/11/2021 12:04,29/11/2021 12:06,4,5,2,5,3,5,3,1,3,1,4,2,5,3,3,2,3,1,5,3
621e2eaf67b776a2406b14ac,6/12/2021 11:26,6/12/2021 11:24,6/12/2021 11:26,5,3,3,3,3,3,2,1,4,1,1,3,3,4,2,3,2,1,4,2
621e2eaf67b776a2406b14ac,13/12/2021 12:08,13/12/2021 12:07,13/12/2021 12:08,4,2,2,2,2,3,2,1,2,1,1,3,2,3,1,3,3,1,3,2
621e2eaf67b776a2406b14ac,5/1/2022 10:34,5/1/2022 10:33,5/1/2022 10:34,4,1,3,2,4,2,2,1,3,3,1,2,2,4,3,4,2,1,5,2
621e2eaf67b776a2406b14ac,10/1/2022 11:21,10/1/2022 11:20,10/1/2022 11:21,3,2,2,1,3,1,2,1,2,3,1,3,1,2,1,4,2,1,3,1
621e2eaf67b776a2406b14ac,5/1/2022 10:32,5/1/2022 10:30,5/1/2022 10:32,4,5,3,5,3,2,1,1,4,4,1,2,3,3,1,3,3,1,4,1
621e2eaf67b776a2406b14ac,7/1/2022 10:35,7/1/2022 10:34,7/1/2022 10:35,3,3,2,2,3,2,2,1,2,1,1,3,2,2,1,4,3,1,3,1
621e2ed667b776a24085d8d1,30/6/2021 22:51,30/6/2021 22:50,30/6/2021 22:51,4,2,3,2,3,3,2,2,4,3,2,4,4,3,2,3,4,2,4,2
621e2ed667b776a24085d8d1,7/6/2021 17:20,7/6/2021 17:17,7/6/2021 17:20,2,4,3,2,2,1,2,2,3,3,2,3,3,2,1,4,4,2,2,1
621e2ed667b776a24085d8d1,22/6/2021 21:26,22/6/2021 21:24,22/6/2021 21:26,4,2,4,2,2,3,2,2,4,2,2,3,1,3,1,3,4,2,4,2
621e2ed667b776a24085d8d1,17/7/2021 12:03,17/7/2021 12:02,17/7/2021 12:03,3,4,2,4,2,4,4,4,2,2,4,4,4,2,4,2,3,4,4,4
621e2ed667b776a24085d8d1,30/7/2021 8:09,30/7/2021 8:08,30/7/2021 8:09,2,2,2,2,2,2,2,1,2,2,2,3,3,2,2,2,4,2,3,2
621e2f3967b776a240c654db,31/5/2021 15:43,31/5/2021 15:40,31/5/2021 15:43,4,1,3,1,3,1,1,1,3,4,3,1,1,3,1,3,3,1,3,1
621e2f3967b776a240c654db,7/6/2021 12:51,7/6/2021 12:49,7/6/2021 12:51,4,1,3,1,3,1,1,1,3,3,4,2,1,3,1,1,3,1,4,1
